nr;Y_2000_easting;X_2000_northing;lon_wgs84;lat_wgs84
1;7472403.68;5528944.91;20.6158876571654;49.8961851053933
2;7472441.18;5528994.82;20.6164060487422;49.8966355793539
3;7472441.72;5528997.48;20.6164133752834;49.8966595205632
4;7472439.30;5529001.66;20.6163793938844;49.8966969919656
5;7472432.26;5529009.84;20.6162808223837;49.8967702150162
6;7472428.54;5529013.82;20.6162287606019;49.8968058282749
7;7472423.51;5529016.80;20.6161585364024;49.8968323900486
8;7472415.61;5529019.64;20.6160483750633;49.8968575607642
9;7472401.59;5529020.47;20.6158531737869;49.8968643770909
10;7472390.91;5529018.87;20.6157046348919;49.8968494987749
11;7472387.19;5529017.42;20.6156529604012;49.8968362900651
12;7472382.02;5529013.53;20.6155812779389;49.8968010761280
13;7472359.82;5528985.69;20.6152742704654;49.8965497389591
14;7472352.06;5528975.80;20.6151669682298;49.8964604585176
15;7472346.63;5528967.18;20.6150920061087;49.8963827043336
16;7472317.32;5528913.27;20.6146879089146;49.8958966389206
17;7472297.81;5528887.43;20.6144182092327;49.8956634060877
18;7472337.90;5528854.42;20.6149785629223;49.8953684636804
